,user_id,for_user,CROSTACEI_E_MOLLUSCHI,FUNGHI,FORMAGGI,VERDURE,PESCE,RISO,PASTA,INTERIORA,LEGUMI,TORTELLINI,GNOCCHI,CARNE,PIZZA,SALUMI,avialble_before,avialble_after,user_available_before,user_available_after,time
44,14706,17050,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,24,-1,24,
110,14657,17660,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,27,24,27,
274,14658,19035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,10,-1,
323,14716,17005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,31,31,
257,14719,18668,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,10,7,10,
135,14639,18200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,29,27,29,
203,14719,16658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,30,18,18,
344,14667,20038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,27,24,24,
129,14639,18200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27,29,27,
150,14731,16598,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,4,4,
55,14717,17251,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,10,10,
183,14666,18718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,
205,14719,16658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,18,18,
90,14708,17036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,8,24,
242,14719,16901,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,7,7,7,
116,14657,17761,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,11,8,8,
76,14708,16921,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,7,-1,7,
67,14708,16869,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,24,-1,24,
245,14719,16927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,26,26,
51,14706,17051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,
114,14657,17685,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,24,24,24,
213,14719,16753,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,10,7,10,
74,14708,16923,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,24,-1,24,
17,14801,16494,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,27,10,10,
301,14658,19155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,-1,4,
206,14719,16658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,29,18,18,
63,14708,16872,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,27,24,24,
152,14731,16598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,4,-1,
157,14731,14731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,24,24,
15,14720,16112,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,24,-1,24,
251,14719,18263,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,10,7,10,
65,14708,16870,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,27,24,24,
223,14719,16751,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,10,10,
133,14639,18200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,27,27,
220,14719,16753,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,10,10,
29,14773,16689,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,7,-1,7,
230,14719,16854,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,27,26,26,
196,14719,16656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,7,7,
296,14658,19068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,
166,14731,16599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,31,24,-1,
20,14801,16494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,10,10,
284,14658,19068,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,-1,4,
9,14720,16106,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,27,10,10,
216,14719,16753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,
297,14658,19068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,
177,14732,18639,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,24,24,24,
260,14899,19080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,24,24,
266,14658,19034,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,27,24,24,
52,14706,17051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,
178,14666,18713,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,10,-1,10,
30,14773,16689,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,10,7,10,
197,14719,16656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,28,10,10,
64,14708,16870,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,24,-1,24,
165,14731,16598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,7,-1,
111,14657,17684,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,24,24,24,
85,14708,17041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,27,24,24,
175,14732,18638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,27,24,24,
123,14697,18116,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,24,-1,24,
302,14658,19155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,4,8,
309,14658,19152,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,8,-1,8,
219,14719,16753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,
118,14657,17762,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,11,8,11,
335,14689,18578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,
5,14720,16104,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,27,24,24,
170,14731,16598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,-1,4,
81,14708,16923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,
180,14666,18714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,
194,14719,16656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,26,7,7,
125,14697,18117,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,27,24,27,
236,14719,16901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,
23,14909,16604,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,-1,4,
311,14658,19151,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,7,-1,7,
188,14719,16656,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,25,25,25,
234,14719,16855,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,30,27,27,
305,14658,19151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,-1,
256,14719,18668,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,7,7,7,
172,14731,18491,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,7,-1,7,
232,14719,16855,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,30,27,27,
280,14658,19035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,24,24,
101,14659,16051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,8,7,7,
54,14717,17232,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,7,-1,7,
91,14708,17148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,
151,14731,16598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,4,
318,14716,17003,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,30,27,30,
