user_id,group_id,type,time
14697,38999,pop,2023-06-19 23:49:24
14697,39002,pop,2023-06-19 23:53:30
14697,39007,pop,2023-06-20 00:11:08
14905,35971,pop,2023-06-14 16:02:50
14905,38905,pop,2023-06-19 22:48:38
14905,38905,pop,2023-06-19 22:48:40
14905,38916,pop,2023-06-19 22:53:26
14905,38941,fit,2023-06-19 23:07:11
14905,38946,pop,2023-06-19 23:08:06
14905,38946,pop,2023-06-19 23:08:33
14905,40335,pop,2023-06-20 21:51:07
14905,40335,pop,2023-06-20 21:51:41
14905,40394,pop,2023-06-20 22:11:44
14905,40472,pop,2023-06-20 22:45:11
14639,35712,pop,2023-06-14 12:29:57
14639,37918,pop,2023-06-19 13:20:53
14639,37918,pop,2023-06-19 13:22:19
14639,37918,pop,2023-06-19 13:25:09
14639,38972,pop,2023-06-19 23:16:39
14639,38972,pop,2023-06-19 23:16:56
14639,38974,pop,2023-06-19 23:18:05
14639,38974,pop,2023-06-19 23:18:18
14639,38985,pop,2023-06-19 23:25:40
14639,38987,pop,2023-06-19 23:29:00
14639,38987,fit,2023-06-19 23:32:16
14705,35778,pop,2023-06-14 13:07:42
14705,37968,pop,2023-06-19 13:21:17
14705,39040,fit,2023-06-20 00:56:09
14705,39040,fit,2023-06-20 01:05:50
14705,39056,pop,2023-06-20 01:12:46
14705,39056,fit,2023-06-20 01:22:07
14705,39056,fit,2023-06-20 01:33:48
14705,39056,fit,2023-06-20 01:35:05
14705,39064,pop,2023-06-20 01:35:14
14705,39064,pop,2023-06-20 01:35:28
14705,40045,pop,2023-06-20 19:20:40
14647,35720,pop,2023-06-14 12:36:44
14647,39078,fit,2023-06-20 02:16:26
14647,39888,pop,2023-06-20 17:56:07
14647,40631,pop,2023-06-21 01:20:18
14643,35716,pop,2023-06-14 12:33:48
14643,38025,pop,2023-06-19 13:28:53
14643,38025,pop,2023-06-19 13:30:10
14643,38102,pop,2023-06-19 13:49:06
14643,38371,pop,2023-06-19 15:17:28
14643,38383,pop,2023-06-19 15:20:53
14643,38387,pop,2023-06-19 15:25:34
14643,38429,pop,2023-06-19 15:57:18
14643,39085,pop,2023-06-20 02:28:56
14643,39085,pop,2023-06-20 02:29:51
14643,39085,fit,2023-06-20 02:32:31
14643,39085,fit,2023-06-20 02:33:50
14643,39088,2023-06-20 02:37:25
14653,35726,pop,2023-06-14 12:41:07
14653,39122,fit,2023-06-20 03:28:04
14653,39123,pop,2023-06-20 03:28:10
14653,39123,fit,2023-06-20 03:30:48
14653,39123,fit,2023-06-20 03:31:40
14772,35845,pop,2023-06-14 13:54:05
14772,39015,pop,2023-06-20 00:18:04
14772,39016,pop,2023-06-20 00:22:52
14772,39018,pop,2023-06-20 00:23:39
14772,39018,fit,2023-06-20 00:25:26
14772,39018,fit,2023-06-20 00:49:38
14772,39018,fit,2023-06-20 01:08:52
14772,39058,pop,2023-06-20 01:22:09
14772,39058,fit,2023-06-20 01:23:50
14772,39059,pop,2023-06-20 01:24:01
14772,39061,pop,2023-06-20 01:25:03
14772,39062,pop,2023-06-20 01:26:21
14772,39063,pop,2023-06-20 01:29:20
14772,39127,fit,2023-06-20 03:35:05
14772,39131,pop,2023-06-20 03:36:15
14772,39131,fit,2023-06-20 03:37:46
14772,39131,fit,2023-06-20 03:43:12
14772,39131,fit,2023-06-20 03:43:22
14772,39131,fit,2023-06-20 03:49:41
14652,35725,pop,2023-06-14 12:40:17
14652,39140,pop,2023-06-20 03:53:42
14652,39140,pop,2023-06-20 03:53:56
14652,39144,pop,2023-06-20 03:55:26
14652,39144,pop,2023-06-20 03:56:08
14652,39144,pop,2023-06-20 03:58:11
14652,39144,pop,2023-06-20 04:01:16
14652,39144,pop,2023-06-20 04:01:37
14652,39144,pop,2023-06-20 04:02:43
14652,39146,pop,2023-06-20 04:03:04
14652,39382,pop,2023-06-20 12:37:58
14710,35783,pop,2023-06-14 13:09:46
14710,37081,pop,2023-06-16 13:16:25
14710,37081,fit,2023-06-16 13:30:59
14710,37083,pop,2023-06-16 13:35:02
14710,37083,fit,2023-06-16 13:35:29
14710,37083,fit,2023-06-16 13:35:30
14710,37779,pop,2023-06-19 12:55:38
14710,38282,pop,2023-06-19 14:53:23
14710,38288,pop,2023-06-19 14:56:30
14710,38400,pop,2023-06-19 15:33:04
14710,39160,pop,2023-06-20 04:53:58
14710,39160,fit,2023-06-20 04:55:09
14731,35804,pop,2023-06-14 13:29:37
14731,37327,pop,2023-06-19 01:05:59
14731,37360,pop,2023-06-19 09:12:12
14731,37360,fit,2023-06-19 09:21:17
14731,37364,pop,2023-06-19 09:22:22
14731,37364,pop,2023-06-19 09:23:05
14731,38826,pop,2023-06-19 21:45:49
14731,39159,pop,2023-06-20 04:45:52
14731,39159,fit,2023-06-20 05:07:35
14731,39164,pop,2023-06-20 05:12:09
14686,35759,pop,2023-06-14 12:58:31
14686,37017,pop,2023-06-16 12:17:13
14686,39176,fit,2023-06-20 06:23:53
14644,35717,pop,2023-06-14 12:35:02
14644,38611,pop,2023-06-19 19:12:31
14644,39181,fit,2023-06-20 07:25:04
14644,39181,fit,2023-06-20 07:25:16
14644,39181,fit,2023-06-20 07:25:23
14644,39181,sim,2023-06-20 07:26:11
14644,39831,fit,2023-06-20 17:33:05
14644,39831,fit,2023-06-20 17:33:06
14644,40075,pop,2023-06-20 19:32:34
14645,35718,pop,2023-06-14 12:35:27
14645,38598,fit,2023-06-19 19:17:00
14645,38612,fit,2023-06-19 19:21:32
14645,39180,fit,2023-06-20 07:25:04
14645,39180,fit,2023-06-20 07:26:13
14645,39180,fit,2023-06-20 07:29:04
14663,35736,pop,2023-06-14 12:46:00
14663,36887,pop,2023-06-15 23:57:05
14663,37497,fit,2023-06-19 12:01:03
14663,39227,pop,2023-06-20 09:10:18
14663,39229,pop,2023-06-20 09:14:03
14663,39229,fit,2023-06-20 09:16:47
14663,39418,pop,2023-06-20 13:13:37
14732,35805,pop,2023-06-14 13:30:27
14732,39228,pop,2023-06-20 09:13:41
14732,39234,pop,2023-06-20 09:23:35
14732,39234,fit,2023-06-20 09:25:48
14721,35794,pop,2023-06-14 13:15:10
14721,39243,pop,2023-06-20 09:34:00
14721,39243,fit,2023-06-20 09:34:03
14721,39243,fit,2023-06-20 09:35:18
14721,39243,fit,2023-06-20 09:35:40
14679,35752,pop,2023-06-14 12:55:16
14679,37735,pop,2023-06-19 12:47:38
14679,37735,pop,2023-06-19 12:52:52
14679,37787,pop,2023-06-19 12:55:44
14679,37787,pop,2023-06-19 12:57:38
14679,37845,pop,2023-06-19 13:07:11
14679,37854,pop,2023-06-19 13:07:17
14679,37854,pop,2023-06-19 13:09:02
14679,38707,pop,2023-06-19 20:14:05
14679,38729,pop,2023-06-19 20:29:48
14679,38859,pop,2023-06-19 22:19:52
14679,38988,pop,2023-06-19 23:29:14
14679,39251,pop,2023-06-20 09:50:20
14679,39253,pop,2023-06-20 09:51:47
14679,39253,pop,2023-06-20 09:52:46
14679,39253,pop,2023-06-20 09:53:08
14679,39254,pop,2023-06-20 09:56:27
14679,39254,pop,2023-06-20 09:57:21
14679,39254,pop,2023-06-20 09:58:47
14679,39254,pop,2023-06-20 09:58:54
14679,39254,pop,2023-06-20 10:08:47
14679,39254,pop,2023-06-20 10:08:59
14679,39254,pop,2023-06-20 10:09:25
14679,39254,pop,2023-06-20 10:09:52
14679,40299,pop,2023-06-20 21:44:00
14679,40863,pop,2023-06-29 22:58:30
14678,35751,pop,2023-06-14 12:54:49
14678,38021,pop,2023-06-19 13:28:54
14678,38027,pop,2023-06-19 13:29:16
14678,38027,fit,2023-06-19 13:30:18
14678,38709,pop,2023-06-19 20:13:45
14678,39275,pop,2023-06-20 10:33:22
14678,39275,fit,2023-06-20 10:35:40
14678,39275,fit,2023-06-20 10:40:20
14678,39275,fit,2023-06-20 10:42:58
14678,39283,pop,2023-06-20 10:49:08
14678,39283,pop,2023-06-20 10:49:14
14678,39283,fit,2023-06-20 10:49:57
14678,39285,pop,2023-06-20 10:51:48
14678,39285,fit,2023-06-20 11:06:19
14678,39305,pop,2023-06-20 11:07:30
14678,39310,pop,2023-06-20 11:14:14
14678,39310,fit,2023-06-20 11:15:23
14678,39312,pop,2023-06-20 11:17:54
14678,39312,pop,2023-06-20 11:50:13
14678,39712,pop,2023-06-20 16:34:01
14678,39712,pop,2023-06-20 16:41:59
14678,40020,pop,2023-06-20 19:07:39
14678,40020,pop,2023-06-20 19:07:48
14678,40583,pop,2023-06-20 23:41:07
14678,40748,pop,2023-06-21 19:41:12
14678,40752,pop,2023-06-21 20:17:08
14666,35739,pop,2023-06-14 12:47:10
14666,39273,fit,2023-06-20 10:40:41
14666,39281,pop,2023-06-20 10:45:15
14666,39291,pop,2023-06-20 10:56:14
14666,39965,fit,2023-06-20 18:32:57
14666,39965,fit,2023-06-20 18:36:14
14666,39989,pop,2023-06-20 18:45:29
14662,35735,pop,2023-06-14 12:45:28
14662,38303,pop,2023-06-19 15:01:46
14662,39231,pop,2023-06-20 09:17:01
14662,39276,pop,2023-06-20 10:33:48
14662,39276,fit,2023-06-20 10:40:41
14662,39276,fit,2023-06-20 10:48:24
14662,39276,fit,2023-06-20 10:50:36
14662,39286,pop,2023-06-20 10:52:31
14662,39286,pop,2023-06-20 10:52:50
14662,40031,pop,2023-06-20 19:10:03
14677,35750,pop,2023-06-14 12:54:21
14677,37691,pop,2023-06-19 12:40:28
14677,37744,fit,2023-06-19 14:08:24
14677,37744,fit,2023-06-19 14:14:34
14677,38531,pop,2023-06-19 18:00:19
14677,39134,pop,2023-06-20 03:40:44
14677,39139,pop,2023-06-20 03:43:40
14677,39139,pop,2023-06-20 04:39:21
14677,39323,pop,2023-06-20 11:34:01
14677,39323,fit,2023-06-20 11:38:30
14677,39323,fit,2023-06-20 11:41:03
14677,39323,fit,2023-06-20 11:43:00
14677,39323,fit,2023-06-20 11:43:58
14677,39323,sim,2023-06-20 11:44:58
14677,39323,sim,2023-06-20 11:46:09
14677,39323,sim,2023-06-20 11:50:13
14677,39323,sim,2023-06-20 11:50:32
14677,39323,fit,2023-06-20 11:52:10
14677,39323,fit,2023-06-20 11:52:10
14677,39323,fit,2023-06-20 11:55:09
14677,39323,fit,2023-06-20 11:56:08
14677,40073,pop,2023-06-20 19:32:17
14677,40099,pop,2023-06-20 19:43:39
14677,40627,pop,2023-06-21 00:19:57
14677,40627,pop,2023-06-21 00:19:58
14677,40628,pop,2023-06-21 00:21:13
14677,40765,pop,2023-06-21 22:29:41
14677,40765,fit,2023-06-21 22:35:20
14770,35843,pop,2023-06-14 13:53:01
14770,38561,pop,2023-06-19 18:32:43
14770,38561,pop,2023-06-19 18:33:20
14770,38564,pop,2023-06-19 18:35:03
14770,38808,pop,2023-06-19 21:40:12
14770,38808,pop,2023-06-19 21:40:50
14770,38808,fit,2023-06-19 21:44:11
14770,38808,fit,2023-06-19 21:44:25
14770,39339,pop,2023-06-20 11:52:10
14770,39339,pop,2023-06-20 11:52:26
14770,40183,pop,2023-06-20 20:46:43
14770,40183,fit,2023-06-20 20:47:49
14770,40183,fit,2023-06-20 20:55:29
14770,40183,fit,2023-06-20 20:59:08
14719,35792,pop,2023-06-14 13:13:58
14719,36901,pop,2023-06-16 09:24:21
14719,37376,pop,2023-06-19 10:29:27
14719,37377,pop,2023-06-19 10:29:34
14719,37378,pop,2023-06-19 10:30:00
14719,37378,fit,2023-06-19 10:30:29
14719,37378,fit,2023-06-19 10:31:14
14719,37378,fit,2023-06-19 10:32:22
14719,37378,fit,2023-06-19 10:35:03
14719,37379,pop,2023-06-19 10:36:21
14719,37379,pop,2023-06-19 10:38:19
14719,37380,pop,2023-06-19 10:38:32
14719,37381,pop,2023-06-19 10:39:13
14719,37381,fit,2023-06-19 10:39:47
14719,37382,pop,2023-06-19 10:40:49
14719,37382,fit,2023-06-19 10:42:18
14719,37382,fit,2023-06-19 10:53:03
14719,37385,pop,2023-06-19 10:53:57
14719,37385,fit,2023-06-19 10:58:42
14719,37387,pop,2023-06-19 11:00:06
14719,37486,pop,2023-06-19 11:49:28
14719,37486,fit,2023-06-19 12:19:47
14719,37600,pop,2023-06-19 12:21:47
14719,37600,fit,2023-06-19 12:26:14
14719,37600,fit,2023-06-19 12:28:30
14719,37651,pop,2023-06-19 12:31:54
14719,37659,pop,2023-06-19 12:32:57
14719,37689,pop,2023-06-19 12:41:14
14719,37689,fit,2023-06-19 12:49:35
14719,37689,fit,2023-06-19 12:50:06
14719,37689,fit,2023-06-19 12:54:24
14719,37689,fit,2023-06-19 12:54:39
14719,37689,fit,2023-06-19 12:54:44
