"id","group_id","restaurant_id","ts"
394,38415,26,"2023-06-19 16:12:43"
395,38444,29,"2023-06-19 16:19:21"
396,38463,5,"2023-06-19 16:21:19"
397,38463,5,"2023-06-19 16:21:34"
398,38443,17,"2023-06-19 16:28:27"
399,38492,29,"2023-06-19 16:58:19"
400,38504,5,"2023-06-19 17:18:13"
401,38504,5,"2023-06-19 17:19:05"
402,38525,29,"2023-06-19 17:39:57"
403,38521,5,"2023-06-19 17:40:26"
404,38545,5,"2023-06-19 18:20:13"
405,38562,5,"2023-06-19 18:43:28"
406,38570,18,"2023-06-19 18:52:27"
407,38570,18,"2023-06-19 18:53:14"
408,38586,29,"2023-06-19 19:18:12"
409,38698,22,"2023-06-19 20:06:14"
410,38702,29,"2023-06-19 20:13:25"
411,38737,5,"2023-06-19 20:34:36"
412,38614,29,"2023-06-19 20:39:51"
413,38742,5,"2023-06-19 20:47:16"
414,38744,32,"2023-06-19 21:05:39"
415,38773,18,"2023-06-19 21:11:59"
416,38771,5,"2023-06-19 21:17:54"
417,38771,5,"2023-06-19 21:19:08"
418,38834,29,"2023-06-19 21:49:50"
419,38824,5,"2023-06-19 22:07:39"
420,38824,5,"2023-06-19 22:08:20"
421,38855,28,"2023-06-19 22:27:54"
422,38886,29,"2023-06-19 22:33:43"
423,38888,29,"2023-06-19 22:39:25"
424,38893,6,"2023-06-19 22:47:01"
425,38915,18,"2023-06-19 22:54:30"
426,38911,5,"2023-06-19 22:56:55"
427,38941,5,"2023-06-19 23:08:02"
428,38968,5,"2023-06-19 23:16:19"
429,38987,5,"2023-06-19 23:35:23"
430,38989,5,"2023-06-19 23:36:11"
431,38989,5,"2023-06-19 23:38:18"
432,38996,29,"2023-06-19 23:50:05"
433,39003,18,"2023-06-20 00:02:08"
434,39006,5,"2023-06-20 00:07:36"
435,39017,18,"2023-06-20 00:42:53"
436,39038,5,"2023-06-20 00:46:18"
437,39056,22,"2023-06-20 01:34:12"
438,39068,18,"2023-06-20 01:58:50"
439,39078,5,"2023-06-20 02:18:10"
440,39079,32,"2023-06-20 02:23:25"
441,39085,5,"2023-06-20 02:34:03"
442,39086,4,"2023-06-20 02:36:55"
443,39098,25,"2023-06-20 02:42:30"
444,39101,18,"2023-06-20 02:47:59"
445,39111,5,"2023-06-20 02:50:56"
446,39115,5,"2023-06-20 02:53:28"
447,39123,5,"2023-06-20 03:33:11"
448,39133,29,"2023-06-20 03:40:44"
449,39131,26,"2023-06-20 03:48:31"
450,39131,26,"2023-06-20 03:50:02"
451,39144,5,"2023-06-20 04:01:52"
452,39144,5,"2023-06-20 04:02:49"
453,39145,32,"2023-06-20 04:06:12"
454,39158,5,"2023-06-20 04:47:02"
455,39158,5,"2023-06-20 04:47:42"
456,39160,5,"2023-06-20 04:56:50"
457,39162,30,"2023-06-20 05:09:24"
458,39162,30,"2023-06-20 05:10:34"
459,39159,5,"2023-06-20 05:11:39"
460,39163,30,"2023-06-20 05:17:39"
461,39176,5,"2023-06-20 06:26:52"
462,39181,5,"2023-06-20 07:27:35"
