,user_id,gender,nationality,age,french,chinese,jpan,italian,greek,indian,spain,lebanan,moroccan,turkish,thai,preferences
0,14906,Male,Bosnia,22,1,0,0,1,0,0,0,0,0,1,0,"['SOUP', 'PIZZA']"
0,14932,Male,Bosnia,19,0,1,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PIZZA', 'RICE', 'BURGER']"
0,14932,Male,Bosnia,19,0,1,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PIZZA', 'RICE', 'BURGER']"
0,14932,Male,Bosnia,19,0,1,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PIZZA', 'RICE', 'BURGER']"
0,14932,Male,Bosnia,19,0,1,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PIZZA', 'RICE', 'BURGER']"
0,14643,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'PASTA']"
0,14643,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'PASTA']"
0,14905,Male,Bosnia,19,0,1,1,1,0,0,1,0,0,0,0,"['WHITE MEAT', 'PIZZA', 'RICE', 'BURGER', 'PASTA']"
0,14905,Male,Bosnia,19,0,1,1,1,0,0,1,0,0,0,0,"['WHITE MEAT', 'PIZZA', 'RICE', 'BURGER', 'PASTA']"
0,14905,Male,Bosnia,19,0,1,1,1,0,0,1,0,0,0,0,"['WHITE MEAT', 'PIZZA', 'RICE', 'BURGER', 'PASTA']"
0,14905,Male,Bosnia,19,0,1,1,1,0,0,1,0,0,0,0,"['WHITE MEAT', 'PIZZA', 'RICE', 'BURGER', 'PASTA']"
0,14905,Male,Bosnia,19,0,1,1,1,0,0,1,0,0,0,0,"['WHITE MEAT', 'PIZZA', 'RICE', 'BURGER', 'PASTA']"
0,14659,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['PIZZA', 'PASTA']"
0,14659,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['PIZZA', 'PASTA']"
0,14710,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,1,0,"['PIZZA', 'PASTA']"
0,14710,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,1,0,"['PIZZA', 'PASTA']"
0,14769,Male,Italy,20,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'PASTA']"
0,14769,Male,Italy,20,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'PASTA']"
0,14657,Male,Bosnia,20,0,0,0,1,1,0,0,0,0,1,0,"['RED MEAT', 'PASTA']"
0,14657,Male,Bosnia,20,0,0,0,1,1,0,0,0,0,1,0,"['RED MEAT', 'PASTA']"
0,14707,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'PASTA']"
0,14707,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'PASTA']"
0,14782,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'PASTA']"
0,14782,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'PASTA']"
0,14770,Female,Bosnia,20,0,0,0,0,0,1,1,0,0,1,0,"['SALAD', 'PASTA']"
0,14770,Female,Bosnia,20,0,0,0,0,0,1,1,0,0,1,0,"['SALAD', 'PASTA']"
0,14683,Female,Bosnia,20,0,0,0,1,0,1,1,0,0,1,0,"['SALAD', 'PASTA']"
0,14683,Female,Bosnia,20,0,0,0,1,0,1,1,0,0,1,0,"['SALAD', 'PASTA']"
0,14772,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PASTA']"
0,14772,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PASTA']"
0,14684,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,1,0,"['PIZZA', 'BURGER']"
0,14684,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,1,0,"['PIZZA', 'BURGER']"
0,14682,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PIZZA']"
0,14682,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PIZZA']"
0,14734,Female,Bosnia,19,0,0,0,0,0,0,0,0,0,1,0,"['RED MEAT', 'SOUP', 'PIZZA', 'RICE', 'SALAD', 'PASTA']"
0,14734,Female,Bosnia,19,0,0,0,0,0,0,0,0,0,1,0,"['RED MEAT', 'SOUP', 'PIZZA', 'RICE', 'SALAD', 'PASTA']"
0,14734,Female,Bosnia,19,0,0,0,0,0,0,0,0,0,1,0,"['RED MEAT', 'SOUP', 'PIZZA', 'RICE', 'SALAD', 'PASTA']"
0,14734,Female,Bosnia,19,0,0,0,0,0,0,0,0,0,1,0,"['RED MEAT', 'SOUP', 'PIZZA', 'RICE', 'SALAD', 'PASTA']"
